"DRD370P.Code.or.Value","DRD370P.Value.Description","DRD370P.Count","DRD370P.Cumulative","DRD370P.Skip.to.Item"
"1","Yes",26,26,""
"2","No",5398,5424,"DRD370Q"
".","Missing",4338,9762,""
