"AUXRR116.Code.or.Value","AUXRR116.Value.Description","AUXRR116.Count","AUXRR116.Cumulative","AUXRR116.Skip.to.Item"
"-53 to 64","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
