"LBXSATSI.Code.or.Value","LBXSATSI.Value.Description","LBXSATSI.Count","LBXSATSI.Cumulative","LBXSATSI.Skip.to.Item"
"6 to 343","Range of Values",6859,6859,NA
".","Missing",510,7369,NA
