"VTQ240A.Code.or.Value","VTQ240A.Value.Description","VTQ240A.Count","VTQ240A.Cumulative","VTQ240A.Skip.to.Item"
"1","Yes",936,936,NA
"2","No",1652,2588,NA
"7","Refused",0,2588,NA
"9","Don't know",1,2589,NA
".","Missing",705,3294,NA
