"WTMREP32.Code.or.Value","WTMREP32.Value.Description","WTMREP32.Count","WTMREP32.Cumulative","WTMREP32.Skip.to.Item"
"0 to 254090.86669","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
