"URX4FP.Code.or.Value","URX4FP.Value.Description","URX4FP.Count","URX4FP.Cumulative","URX4FP.Skip.to.Item"
"0.14 to 23.97","Range of Values",1949,1949,NA
".","Missing",176,2125,NA
