"DSQTLZ.Code.or.Value","DSQTLZ.Value.Description","DSQTLZ.Count","DSQTLZ.Cumulative","DSQTLZ.Skip.to.Item"
"5 to 300000","Range of Values",765,765,NA
".","Missing",9772,10537,NA
