"OCQ210.Code.or.Value","OCQ210.Value.Description","OCQ210.Count","OCQ210.Cumulative","OCQ210.Skip.to.Item"
"1","Yes",300,300,NA
"2","No",644,944,NA
"7","Refused",0,944,NA
"9","Don't know",0,944,NA
".","Missing",6351,7295,NA
