"TYXP170.Code.or.Value","TYXP170.Value.Description","TYXP170.Count","TYXP170.Cumulative","TYXP170.Skip.to.Item"
"-299 to 173","Range of Values",1708,1708,NA
".","Missing",3877,5585,NA
