"ORXH06.Code.or.Value","ORXH06.Value.Description","ORXH06.Count","ORXH06.Cumulative","ORXH06.Skip.to.Item"
"1","Positive",10,10,NA
"2","Negative",4536,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
