"URXIPM3.Code.or.Value","URXIPM3.Value.Description","URXIPM3.Count","URXIPM3.Cumulative","URXIPM3.Skip.to.Item"
"0.85 to 912","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
