"WBXP034.Code.or.Value","WBXP034.Value.Description","WBXP034.Count","WBXP034.Cumulative","WBXP034.Skip.to.Item"
"-67.7835 to 173.5347","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
