"SSTBBA.Code.or.Value","SSTBBA.Value.Description","SSTBBA.Count","SSTBBA.Cumulative","SSTBBA.Skip.to.Item"
"0.04 to 0.82","Range of Values",2316,2316,NA
".","Missing",1,2317,NA
