"URXUHG.Code.or.Value","URXUHG.Value.Description","URXUHG.Count","URXUHG.Cumulative","URXUHG.Skip.to.Item"
"0.11 to 75.75","Range of Values",2055,2055,NA
"0.1","Fill Value of Limit of Detection",483,2538,NA
".","Missing",135,2673,NA
