"WBXF004.Code.or.Value","WBXF004.Value.Description","WBXF004.Count","WBXF004.Cumulative","WBXF004.Skip.to.Item"
"297.3018 to 297.3018","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
