"MCQ120A.Code.or.Value","MCQ120A.Value.Description","MCQ120A.Count","MCQ120A.Cumulative","MCQ120A.Skip.to.Item"
"1","Yes",493,493,NA
"2","No",4541,5034,NA
"7","Refused",0,5034,NA
"9","Don't know",24,5058,NA
".","Missing",5412,10470,NA
