"DR1TPROT.Code.or.Value","DR1TPROT.Value.Description","DR1TPROT.Count","DR1TPROT.Cumulative","DR1TPROT.Skip.to.Item"
"0 to 474.01","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
