"DSQTVB6.Code.or.Value","DSQTVB6.Value.Description","DSQTVB6.Count","DSQTVB6.Cumulative","DSQTVB6.Skip.to.Item"
"0 to 503","Range of Values",2587,2587,NA
".","Missing",7562,10149,NA
