"MCQ260AA.Code.or.Value","MCQ260AA.Value.Description","MCQ260AA.Count","MCQ260AA.Cumulative","MCQ260AA.Skip.to.Item"
"1","Mother",844,844,"MCQ250B"
"77","Refused",0,844,"MCQ250B"
"99","Don't know",7,851,"MCQ250B"
".","Missing",9619,10470,""
