"LBCBR1LA.Code.or.Value","LBCBR1LA.Value.Description","LBCBR1LA.Count","LBCBR1LA.Cumulative","LBCBR1LA.Skip.to.Item"
"0.2 to 1.5","Range of Values",264,264,NA
".","Missing",0,264,NA
