"LBCBR11L.Code.or.Value","LBCBR11L.Value.Description","LBCBR11L.Count","LBCBR11L.Cumulative","LBCBR11L.Skip.to.Item"
"1.9 to 21.4","Range of Values",264,264,NA
".","Missing",0,264,NA
