"LBCPDTLA.Code.or.Value","LBCPDTLA.Value.Description","LBCPDTLA.Count","LBCPDTLA.Cumulative","LBCPDTLA.Skip.to.Item"
"0.601 to 188.1","Range of Values",283,283,NA
".","Missing",1,284,NA
