"DR1IS100.Code.or.Value","DR1IS100.Value.Description","DR1IS100.Count","DR1IS100.Cumulative","DR1IS100.Skip.to.Item"
"0 to 5.665","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
