"DR1IP226.Code.or.Value","DR1IP226.Value.Description","DR1IP226.Count","DR1IP226.Cumulative","DR1IP226.Skip.to.Item"
"0 to 2.547","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
