"MCQ230d.Code.or.Value","MCQ230d.Value.Description","MCQ230d.Count","MCQ230d.Cumulative","MCQ230d.Skip.to.Item"
"66","More than 3 kinds",1,1,NA
"77","Refused",0,1,NA
"99","Don't know",0,1,NA
".","Missing",8896,8897,NA
