"DS1ICALC.Code.or.Value","DS1ICALC.Value.Description","DS1ICALC.Count","DS1ICALC.Cumulative","DS1ICALC.Skip.to.Item"
"0.1 to 3200","Range of Values",1632,1632,NA
".","Missing",4436,6068,NA
