"MCQ371b.Code.or.Value","MCQ371b.Value.Description","MCQ371b.Count","MCQ371b.Cumulative","MCQ371b.Skip.to.Item"
"1","Yes",3622,3622,NA
"2","No",2536,6158,NA
"7","Refused",0,6158,NA
"9","Don't know",3,6161,NA
".","Missing",2736,8897,NA
