"URDDEELC.Code.or.Value","URDDEELC.Value.Description","URDDEELC.Count","URDDEELC.Cumulative","URDDEELC.Skip.to.Item"
"0","detectable result",400,400,NA
"1","below detectable limit",2644,3044,NA
".","Missing",108,3152,NA
