"PFQ061I.Code.or.Value","PFQ061I.Value.Description","PFQ061I.Count","PFQ061I.Cumulative","PFQ061I.Skip.to.Item"
"1","No difficulty",2102,2102,NA
"2","Some difficulty",527,2629,NA
"3","Much difficulty",162,2791,NA
"4","Unable to do",72,2863,NA
"5","Do not do this activity",8,2871,NA
"7","Refused",0,2871,NA
"9","Don't know",1,2872,NA
".","Missing",6794,9666,NA
