"PHQ040.Code.or.Value","PHQ040.Value.Description","PHQ040.Count","PHQ040.Cumulative","PHQ040.Skip.to.Item"
"1","Yes",146,146,NA
"2","No",8757,8903,NA
".","Missing",537,9440,NA
