"LBCBR1.Code.or.Value","LBCBR1.Value.Description","LBCBR1.Count","LBCBR1.Cumulative","LBCBR1.Skip.to.Item"
"1.8 to 6","Range of Values",247,247,NA
".","Missing",0,247,NA
