"RFXC136.Code.or.Value","RFXC136.Value.Description","RFXC136.Count","RFXC136.Cumulative","RFXC136.Skip.to.Item"
"-7.79 to 7.485","Range of Values",33675,33675,NA
".","Missing",46,33721,NA
