"SXQ510.Code.or.Value","SXQ510.Value.Description","SXQ510.Count","SXQ510.Cumulative","SXQ510.Skip.to.Item"
"0 to 1000","Range of Values",1102,1102,NA
"77777","Refused",1,1103,NA
"99999","Don't know",1,1104,NA
".","Missing",2181,3285,NA
