"SLQ040.Code.or.Value","SLQ040.Value.Description","SLQ040.Count","SLQ040.Cumulative","SLQ040.Skip.to.Item"
"0","Never",4535,4535,NA
"1","Rarely - 1-2 nights a week",773,5308,NA
"2","Occasionally - 3-4 nights a week",351,5659,NA
"3","Frequently - 5 or more nights a week",286,5945,NA
"7","Refused",2,5947,NA
"9","Don't know",380,6327,NA
".","Missing",0,6327,NA
