"DSQTIRON.Code.or.Value","DSQTIRON.Value.Description","DSQTIRON.Count","DSQTIRON.Cumulative","DSQTIRON.Skip.to.Item"
"0.0133 to 500","Range of Values",1019,1019,NA
".","Missing",8952,9971,NA
