"DXXTSBMC.Code.or.Value","DXXTSBMC.Value.Description","DXXTSBMC.Count","DXXTSBMC.Cumulative","DXXTSBMC.Skip.to.Item"
"18.9 to 284.97","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
