"LBCBR66L.Code.or.Value","LBCBR66L.Value.Description","LBCBR66L.Count","LBCBR66L.Cumulative","LBCBR66L.Skip.to.Item"
"0.2546 to 1.885","Range of Values",284,284,NA
".","Missing",0,284,NA
