"WBXP062.Code.or.Value","WBXP062.Value.Description","WBXP062.Count","WBXP062.Cumulative","WBXP062.Skip.to.Item"
"-177.9382 to 143.289","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
