"URDCNPLC.Code.or.Value","URDCNPLC.Value.Description","URDCNPLC.Count","URDCNPLC.Cumulative","URDCNPLC.Skip.to.Item"
"0","At or above the detection limit",2652,2652,NA
"1","Below lower detection limit",33,2685,NA
".","Missing",92,2777,NA
