"FFQ0010.Code.or.Value","FFQ0010.Value.Description","FFQ0010.Count","FFQ0010.Cumulative","FFQ0010.Skip.to.Item"
1,"Yes",1759,1759,NA
2,"No",4287,6046,NA
88,"Blank",424,6470,NA
99,"Error",2,6472,NA
