"URDP06LC.Code.or.Value","URDP06LC.Value.Description","URDP06LC.Count","URDP06LC.Cumulative","URDP06LC.Skip.to.Item"
"0","At or above the detection limit",2495,2495,NA
"1","Below lower detection limit",1,2496,NA
".","Missing",201,2697,NA
