"SDMVSTRA.Code.or.Value","SDMVSTRA.Value.Description","SDMVSTRA.Count","SDMVSTRA.Cumulative","SDMVSTRA.Skip.to.Item"
"1 to 13","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
