"DR1TWS.Code.or.Value","DR1TWS.Value.Description","DR1TWS.Count","DR1TWS.Cumulative","DR1TWS.Skip.to.Item"
"1","Community supply",6033,6033,NA
"2","Well or rain cistern",570,6603,NA
"3","Spring",124,6727,NA
"4","Don't drink tap water",1648,8375,NA
"91","Other",0,8375,NA
"99","Don't know",408,8783,NA
".","Missing",1030,9813,NA
