"TYXP230.Code.or.Value","TYXP230.Value.Description","TYXP230.Count","TYXP230.Cumulative","TYXP230.Skip.to.Item"
"-299 to -25","Range of Values",249,249,NA
".","Missing",8220,8469,NA
