"LBDBHCLA.Code.or.Value","LBDBHCLA.Value.Description","LBDBHCLA.Count","LBDBHCLA.Cumulative","LBDBHCLA.Skip.to.Item"
"1.457372 to 766.36","Range of Values",1893,1893,NA
".","Missing",381,2274,NA
