"URDUPBLC.Code.or.Value","URDUPBLC.Value.Description","URDUPBLC.Count","URDUPBLC.Cumulative","URDUPBLC.Skip.to.Item"
"0","At or above the detection limit",2515,2515,NA
"1","Below lower detection limit",61,2576,NA
".","Missing",116,2692,NA
