"MCQ160G.Code.or.Value","MCQ160G.Value.Description","MCQ160G.Count","MCQ160G.Cumulative","MCQ160G.Skip.to.Item"
"1","Yes",137,137,""
"2","No",6077,6214,"MCQ160M"
"7","Refused",0,6214,"MCQ160M"
"9","Don't know",4,6218,"MCQ160M"
".","Missing",3891,10109,""
