"DXASPND0.Code.or.Value","DXASPND0.Value.Description","DXASPND0.Count","DXASPND0.Cumulative","DXASPND0.Skip.to.Item"
"36.2567 to 53.7317","Range of Values",7199,7199,NA
".","Missing",986,8185,NA
