"AUXRR271.Code.or.Value","AUXRR271.Value.Description","AUXRR271.Count","AUXRR271.Cumulative","AUXRR271.Skip.to.Item"
"-16 to 96","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
