"DR2IFA.Code.or.Value","DR2IFA.Value.Description","DR2IFA.Count","DR2IFA.Cumulative","DR2IFA.Skip.to.Item"
"0 to 3075","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
