"LBC151LA.Code.or.Value","LBC151LA.Value.Description","LBC151LA.Count","LBC151LA.Cumulative","LBC151LA.Skip.to.Item"
"0.09 to 0.99","Range of Values",247,247,NA
".","Missing",0,247,NA
