"DR1TS040.Code.or.Value","DR1TS040.Value.Description","DR1TS040.Count","DR1TS040.Cumulative","DR1TS040.Skip.to.Item"
"0 to 6.738","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
