"DUQ100.Code.or.Value","DUQ100.Value.Description","DUQ100.Count","DUQ100.Cumulative","DUQ100.Skip.to.Item"
"1","Yes",548,548,""
"2","No",2084,2632,"End of Section"
"7","Refused",5,2637,"End of Section"
"9","Don't know",4,2641,"End of Section"
".","Missing",351,2992,""
