"DBD235a.Code.or.Value","DBD235a.Value.Description","DBD235a.Count","DBD235a.Cumulative","DBD235a.Skip.to.Item"
"0","Never",804,804,NA
"1","Rarely-less than once a week",136,940,NA
"2","Sometimes-once a week or more, but less than once a day",447,1387,NA
"3","Often-once a day or more",3345,4732,NA
"4","Varied",33,4765,NA
"7","Refused",6,4771,NA
"9","Don't know",108,4879,NA
".","Missing",5086,9965,NA
