"BIDRECF.Code.or.Value","BIDRECF.Value.Description","BIDRECF.Count","BIDRECF.Cumulative","BIDRECF.Skip.to.Item"
"396.5 to 1736.1","Range of Values",4229,4229,NA
".","Missing",1100,5329,NA
