"WBXP053.Code.or.Value","WBXP053.Value.Description","WBXP053.Count","WBXP053.Cumulative","WBXP053.Skip.to.Item"
"-99.465 to 152.6091","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
