"PAXMINUT.Code.or.Value","PAXMINUT.Value.Description","PAXMINUT.Count","PAXMINUT.Cumulative","PAXMINUT.Skip.to.Item"
"0 to 59","Range of Values",72250027,72250027,NA
".","Missing",0,72250027,NA
