"CSQ120A.Code.or.Value","CSQ120A.Value.Description","CSQ120A.Count","CSQ120A.Cumulative","CSQ120A.Skip.to.Item"
"1","Sweet",11,11,NA
"77","Refused",0,11,NA
"99","Don't know",2,13,NA
".","Missing",3590,3603,NA
