"DR2TP182.Code.or.Value","DR2TP182.Value.Description","DR2TP182.Count","DR2TP182.Cumulative","DR2TP182.Skip.to.Item"
"0 to 109.803","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
