"WBXP082.Code.or.Value","WBXP082.Value.Description","WBXP082.Count","WBXP082.Cumulative","WBXP082.Skip.to.Item"
"-172.8416 to 174.4059","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
