"DRD370KQ.Code.or.Value","DRD370KQ.Value.Description","DRD370KQ.Count","DRD370KQ.Cumulative","DRD370KQ.Skip.to.Item"
"1 to 10","Range of Values",63,63,NA
".","Missing",10414,10477,NA
