"LBCD05LA.Code.or.Value","LBCD05LA.Value.Description","LBCD05LA.Count","LBCD05LA.Cumulative","LBCD05LA.Skip.to.Item"
"0.9899 to 90.72","Range of Values",291,291,NA
".","Missing",10,301,NA
