"RFXC098.Code.or.Value","RFXC098.Value.Description","RFXC098.Count","RFXC098.Cumulative","RFXC098.Skip.to.Item"
"-7.654 to 4.74","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
