"DRQSDT8.Code.or.Value","DRQSDT8.Value.Description","DRQSDT8.Count","DRQSDT8.Cumulative","DRQSDT8.Skip.to.Item"
"8","Weight gain or muscle building diet",33,33,NA
".","Missing",9917,9950,NA
